host_id,neighbourhood_group,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365
506779,Manhattan,40.72004,-73.99424,Entire home/apt,495,7,25,2,338
1346437,Queens,40.74511,-73.92398,Entire home/apt,80,10,81,2,40
1123923,Brooklyn,40.67855,-73.8896,Private room,48,90,53,2,1
1356046,Brooklyn,40.71408,-73.9489,Private room,64,3,247,2,117
1360198,Staten Island,40.59251,-74.06479,Entire home/apt,250,2,21,4,333
1360198,Staten Island,40.59101,-74.06685,Private room,50,7,0,4,189
1360198,Staten Island,40.59262,-74.06659,Entire home/apt,125,2,8,4,353
52335,Brooklyn,40.69142,-73.97203,Entire home/apt,70,7,4,2,0
480943,Manhattan,40.76928,-73.95021,Entire home/apt,189,2,314,2,206
605463,Manhattan,40.73312,-74.0042,Entire home/apt,300,4,153,4,246
1020539,Manhattan,40.72534,-73.98591,Private room,88,2,69,2,0
1384111,Queens,40.74558,-73.92324,Private room,73,2,95,2,0
305972,Manhattan,40.81055,-73.95549,Private room,85,7,171,2,144
1123923,Brooklyn,40.67962,-73.88928,Private room,48,90,17,2,0
1385157,Manhattan,40.78448,-73.97289,Entire home/apt,109,30,36,5,286
1385157,Manhattan,40.78304,-73.97447,Entire home/apt,167,30,16,5,252
661399,Manhattan,40.79111,-73.94466,Private room,99,3,25,2,127
1093220,Brooklyn,40.70278,-73.92673,Private room,45,15,21,3,88
1366310,Queens,40.74409,-73.91122,Private room,85,2,270,2,306
1398639,Brooklyn,40.68812,-73.93254,Private room,34,10,16,3,216
1315849,Brooklyn,40.71073,-73.96207,Private room,190,1,30,2,365
1315849,Brooklyn,40.71028,-73.96128,Private room,75,2,5,2,365
1417166,Brooklyn,40.68884,-73.95059,Private room,60,5,9,2,33
1417166,Brooklyn,40.6865,-73.95372,Private room,65,5,45,2,0
1427381,Brooklyn,40.70513,-73.95505,Private room,60,2,35,2,161
605463,Manhattan,40.73301,-74.00268,Entire home/apt,1300,5,28,4,297
1434654,Brooklyn,40.70642,-73.91665,Entire home/apt,110,3,115,2,28
305972,Manhattan,40.81371,-73.95585,Private room,85,6,130,2,97
1447684,Brooklyn,40.72868,-73.95835,Private room,75,7,15,3,365
240427,Brooklyn,40.68255,-73.91957,Entire home/apt,100,3,63,2,5
511175,Manhattan,40.7241,-73.97899,Entire home/apt,180,7,24,2,125
1427381,Brooklyn,40.70766,-73.95191,Entire home/apt,300,7,0,2,354
524730,Brooklyn,40.71422,-73.9484,Entire home/apt,100,19,5,2,6
1366270,Brooklyn,40.66441,-73.97974,Private room,65,4,36,2,80
1029021,Brooklyn,40.68991,-73.93179,Entire home/apt,100,3,21,3,43
1495502,Brooklyn,40.70839,-73.94289,Entire home/apt,120,6,66,2,17
1513294,Brooklyn,40.69755,-73.91187,Private room,50,60,17,2,74
1495502,Brooklyn,40.70736,-73.94331,Entire home/apt,157,4,54,2,12
417504,Brooklyn,40.73683,-73.9543,Entire home/apt,199,3,43,28,84
417504,Brooklyn,40.7389,-73.95395,Entire home/apt,199,3,75,28,84
417504,Brooklyn,40.73806,-73.95462,Entire home/apt,199,3,73,28,56
417504,Brooklyn,40.73661,-73.95479,Entire home/apt,199,3,89,28,62
417504,Brooklyn,40.73857,-73.95435,Entire home/apt,199,3,23,28,81
430188,Brooklyn,40.70686,-73.95365,Private room,135,28,84,6,310
417504,Brooklyn,40.73857,-73.95299,Entire home/apt,199,3,54,28,60
1387286,Brooklyn,40.70918,-73.94881,Private room,60,7,1,2,0
496164,Brooklyn,40.71143,-73.94159,Private room,75,2,98,2,264
1528912,Queens,40.737,-73.87444,Private room,55,1,63,2,341
1530310,Brooklyn,40.68855,-73.95405,Private room,55,5,18,3,0
839679,Brooklyn,40.71653,-73.95554,Private room,30,3,24,3,0
1539749,Brooklyn,40.68622,-73.94675,Private room,52,2,93,4,0
236421,Manhattan,40.77272,-73.95307,Private room,190,3,0,2,0
1220404,Brooklyn,40.66795,-73.89232,Entire home/apt,100,1,119,2,289
1570170,Brooklyn,40.71532,-73.96064,Entire home/apt,180,3,236,2,242
745069,Manhattan,40.82286,-73.94596,Private room,75,3,33,3,301
745069,Manhattan,40.82451,-73.94457,Private room,75,3,30,3,322
1385157,Manhattan,40.78443,-73.97399,Entire home/apt,109,30,18,5,285
1613244,Manhattan,40.72209,-73.99274,Entire home/apt,99,30,13,9,289
279078,Brooklyn,40.69213,-73.951,Entire home/apt,135,2,39,2,293
1639120,Brooklyn,40.71394,-73.96267,Private room,59,3,207,2,284
9647066,Brooklyn,40.6339,-74.02035,Private room,49,4,72,2,343
1651591,Brooklyn,40.71819,-73.95414,Private room,95,2,160,2,79
1639120,Brooklyn,40.71336,-73.96192,Private room,75,2,219,2,277
92788,Manhattan,40.7761,-73.95265,Entire home/apt,219,4,102,2,280
51038,Brooklyn,40.68625,-73.96446,Private room,180,3,15,6,266
312288,Manhattan,40.86658,-73.92558,Private room,87,7,46,2,310
1697784,Brooklyn,40.71179,-73.96449,Private room,79,4,42,2,52
1698391,Manhattan,40.76186,-73.99165,Private room,75,2,118,3,312
1709216,Brooklyn,40.63602,-73.94607,Entire home/apt,115,3,64,4,333
1709216,Brooklyn,40.63759,-73.9459,Entire home/apt,115,3,51,4,327
1709216,Brooklyn,40.63611,-73.94637,Entire home/apt,120,3,79,4,349
1732559,Manhattan,40.75763,-73.99482,Private room,95,6,62,2,80
168417,Manhattan,40.77631,-73.95289,Entire home/apt,121,1,16,2,351
1740216,Manhattan,40.81169,-73.94355,Private room,75,2,77,2,144
1732559,Manhattan,40.75782,-73.99349,Private room,95,5,110,2,43
251176,Manhattan,40.72143,-73.98117,Entire home/apt,189,3,265,2,355
1785800,Brooklyn,40.65846,-73.95057,Private room,77,5,11,3,365
1786901,Manhattan,40.78164,-73.94717,Private room,60,3,5,9,0
1386983,Manhattan,40.74553,-73.98943,Private room,135,3,214,2,167
390251,Manhattan,40.79967,-73.95156,Private room,175,2,6,4,10
179679,Brooklyn,40.71148,-73.95573,Private room,94,2,272,3,22
1879389,Brooklyn,40.72212,-73.95696,Private room,129,3,63,2,87
1884204,Brooklyn,40.68534,-73.93433,Entire home/apt,85,5,268,2,202
438133,Brooklyn,40.67407,-73.98111,Entire home/apt,125,4,23,2,262
732535,Manhattan,40.80491,-73.94866,Private room,160,3,10,3,359
732535,Manhattan,40.80334,-73.94805,Private room,180,3,14,3,348
390251,Manhattan,40.80151,-73.9522,Entire home/apt,165,2,70,4,15
1146958,Manhattan,40.73677,-73.98084,Entire home/apt,125,30,128,4,0
1947974,Queens,40.71151,-73.81561,Private room,75,1,59,2,0
1960128,Queens,40.68581,-73.84642,Shared room,45,1,8,2,364
312722,Brooklyn,40.70994,-73.96573,Private room,45,15,15,4,242
1651591,Brooklyn,40.72049,-73.95221,Private room,90,2,2,2,89
1947974,Queens,40.71068,-73.81577,Private room,75,1,16,2,189
462379,Brooklyn,40.67939,-73.99398,Entire home/apt,298,30,131,2,296
2010724,Manhattan,40.79314,-73.94853,Private room,125,3,74,3,212
1386983,Manhattan,40.7453,-73.99056,Private room,145,3,165,2,181
242506,Brooklyn,40.7093,-73.96484,Private room,123,3,269,3,158
2015914,Brooklyn,40.68979,-73.91661,Private room,75,3,112,8,330
1621363,Brooklyn,40.68599,-73.98826,Entire home/apt,300,29,23,2,312
2010724,Manhattan,40.79477,-73.95046,Private room,100,3,67,3,345
2047776,Manhattan,40.72278,-73.9967,Entire home/apt,225,2,244,2,252
1697784,Brooklyn,40.71472,-73.96225,Private room,120,6,62,2,15
2050338,Brooklyn,40.66924,-73.94406,Entire home/apt,160,5,125,3,169
2051075,Brooklyn,40.67259,-73.95489,Entire home/apt,125,30,58,2,212
319077,Brooklyn,40.68722,-73.96289,Entire home/apt,500,1,54,4,365
2714164,Brooklyn,40.72212,-73.94389,Entire home/apt,87,6,39,2,258
119588,Brooklyn,40.66626,-73.97933,Entire home/apt,160,1,145,2,257
2096690,Brooklyn,40.68559,-73.93896,Entire home/apt,250,15,37,2,54
2128778,Brooklyn,40.67436,-73.956,Private room,55,2,62,2,57
361855,Manhattan,40.83451,-73.93885,Entire home/apt,275,3,50,2,277
200243,Manhattan,40.82726,-73.9444,Private room,58,1,17,2,289
2206506,Brooklyn,40.68813,-73.92817,Entire home/apt,189,7,7,2,303
242506,Brooklyn,40.71164,-73.965,Entire home/apt,299,2,5,3,0
1267021,Queens,40.75193,-73.87873,Private room,75,5,30,3,180
1267021,Queens,40.74906,-73.89377,Private room,69,7,55,3,318
124357,Brooklyn,40.71756,-73.95282,Private room,90,1,155,3,328
2219255,Brooklyn,40.62897,-73.90334,Private room,39,5,105,3,34
9647066,Brooklyn,40.6397,-74.0162,Private room,55,7,28,2,333
